experiment,model,fold,seed,test_acc,test_macro_f1,best_val_macro_f1,fusion_type,aux_gate_init,gate_mean,gate_max
cv10_fold1_mctafd_no_se_gated_seed2024,mctafd_no_se_gated,1,2024,0.9166666666666666,0.9142857142857143,0.9404424276800907,gated,-4.0,0.018117575906217098,0.018710115924477577
cv10_fold2_mctafd_no_se_gated_seed2024,mctafd_no_se_gated,2,2024,0.9047619047619048,0.9057900432900432,0.9285714285714286,gated,-4.0,0.018209822475910187,0.01858089305460453
cv10_fold3_mctafd_no_se_gated_seed2024,mctafd_no_se_gated,3,2024,0.9047619047619048,0.9038901601830664,0.9522727272727273,gated,-4.0,0.018073041923344135,0.0186521764844656
cv10_fold4_mctafd_no_se_gated_seed2024,mctafd_no_se_gated,4,2024,0.9404761904761905,0.9401709401709402,0.9522727272727273,gated,-4.0,0.018349417485296726,0.019006142392754555
cv10_fold5_mctafd_no_se_gated_seed2024,mctafd_no_se_gated,5,2024,0.9166666666666666,0.9162393162393162,0.9642654566080544,gated,-4.0,0.018323568161576986,0.018813174217939377
cv10_fold6_mctafd_no_se_gated_seed2024,mctafd_no_se_gated,6,2024,0.9166666666666666,0.9162393162393163,0.8913168487636574,gated,-4.0,0.018184314481914043,0.01870204135775566
cv10_fold7_mctafd_no_se_gated_seed2024,mctafd_no_se_gated,7,2024,0.8928571428571429,0.8913168487636574,0.9519450800915332,gated,-4.0,0.018187719397246838,0.018810370936989784
cv10_fold8_mctafd_no_se_gated_seed2024,mctafd_no_se_gated,8,2024,0.9166666666666666,0.9154686601495112,0.9166193987521271,gated,-4.0,0.01814985042437911,0.018678143620491028
cv10_fold9_mctafd_no_se_gated_seed2024,mctafd_no_se_gated,9,2024,0.8809523809523809,0.8796755570011383,0.9523809523809523,gated,-4.0,0.018076357897371054,0.01856454461812973
cv10_fold0_mctafd_no_se_gated_seed3407,mctafd_no_se_gated,0,3407,0.9404761904761905,0.9401709401709402,0.9523809523809523,gated,-4.0,0.0184532068669796,0.019448990002274513
cv10_fold1_mctafd_no_se_gated_seed3407,mctafd_no_se_gated,1,3407,0.9047619047619048,0.9011764705882352,0.9404424276800907,gated,-4.0,0.018320334143936634,0.019237101078033447
cv10_fold2_mctafd_no_se_gated_seed3407,mctafd_no_se_gated,2,3407,0.9047619047619048,0.9057900432900432,0.9404424276800907,gated,-4.0,0.01831696229055524,0.01911352574825287
cv10_fold3_mctafd_no_se_gated_seed3407,mctafd_no_se_gated,3,3407,0.9285714285714286,0.9279176201372997,0.9522727272727273,gated,-4.0,0.01823200983926654,0.019044088199734688
cv10_fold4_mctafd_no_se_gated_seed3407,mctafd_no_se_gated,4,3407,0.9166666666666666,0.9150717703349283,0.9404424276800907,gated,-4.0,0.018375227227807045,0.019048256799578667
cv10_fold5_mctafd_no_se_gated_seed3407,mctafd_no_se_gated,5,3407,0.9404761904761905,0.9401709401709402,0.9522727272727273,gated,-4.0,0.0184439099393785,0.019172420725226402
cv10_fold6_mctafd_no_se_gated_seed3407,mctafd_no_se_gated,6,3407,0.9047619047619048,0.9038901601830664,0.9038901601830664,gated,-4.0,0.018262862227857113,0.01935369148850441
cv10_fold7_mctafd_no_se_gated_seed3407,mctafd_no_se_gated,7,3407,0.8928571428571429,0.8923076923076922,0.9641025641025642,gated,-4.0,0.01841285638511181,0.01946600154042244
cv10_fold8_mctafd_no_se_gated_seed3407,mctafd_no_se_gated,8,3407,0.9285714285714286,0.9279176201372997,0.9166193987521271,gated,-4.0,0.018474011681973934,0.019496092572808266
cv10_fold9_mctafd_no_se_gated_seed3407,mctafd_no_se_gated,9,3407,0.9285714285714286,0.928409090909091,0.9523809523809523,gated,-4.0,0.01835905946791172,0.01930016465485096
