experiment,seed,test_macro_f1,best_val_macro_f1,gate_1,gate_2,gate_3,gate_4,gate_mean,gate_max
cv5_gated_boundary_fold1_mctafd_no_se_w05_seed3407,3407,0.9174904788914999,0.9582289055973267,0.019222402945160866,0.018391171470284462,0.018159277737140656,0.018152566626667976,0.01848135469481349,0.019222402945160866
cv5_gated_boundary_fold1_mctafd_no_se_w05_seed42,42,0.917352051427491,0.949944382647386,0.018262453377246857,0.017904872074723244,0.018560247495770454,0.01804273948073387,0.018192578107118607,0.018560247495770454
cv5_gated_boundary_fold2_mctafd_no_se_w02_seed2024,2024,0.946360153256705,0.9333333333333333,0.018239159137010574,0.0173408854752779,0.019479066133499146,0.018477657809853554,0.018384192138910294,0.019479066133499146
cv5_gated_boundary_fold2_mctafd_no_se_w02_seed3407,3407,0.9403409090909091,0.9332591768631813,0.01928180642426014,0.01806700974702835,0.01801062934100628,0.01837434619665146,0.018433447927236557,0.01928180642426014
cv5_gated_boundary_fold2_mctafd_no_se_w02_seed42,42,0.9162393162393163,0.9665178571428572,0.018459772691130638,0.01732487790286541,0.01933390460908413,0.018033558502793312,0.018288028426468372,0.01933390460908413
cv5_gated_boundary_fold2_mctafd_no_se_w05_seed2024,2024,0.928409090909091,0.9415204678362573,0.018344007432460785,0.017302008345723152,0.019090505316853523,0.018493134528398514,0.018307413905858994,0.019090505316853523
cv5_gated_boundary_fold2_mctafd_no_se_w05_seed3407,3407,0.9162393162393163,0.9330357142857143,0.019144253805279732,0.01854877360165119,0.018480341881513596,0.018023161217570305,0.018549132626503706,0.019144253805279732
cv5_gated_boundary_fold2_mctafd_no_se_w05_seed42,42,0.9120319495319495,0.9338436303991252,0.018350521102547646,0.017475858330726624,0.017954183742403984,0.017968708649277687,0.017937317956238985,0.018350521102547646
cv5_gated_boundary_fold3_mctafd_no_se_w02_seed2024,2024,0.9112036380817388,0.9415204678362573,0.018750539049506187,0.017397357150912285,0.018950775265693665,0.018340399488806725,0.018359767738729715,0.018950775265693665
cv5_gated_boundary_fold3_mctafd_no_se_w02_seed3407,3407,0.9097170468816849,0.9158249158249159,0.019403083249926567,0.017590977251529694,0.017621105536818504,0.018422748893499374,0.018259478732943535,0.019403083249926567
cv5_gated_boundary_fold3_mctafd_no_se_w02_seed42,42,0.9166193987521271,0.949944382647386,0.018622733652591705,0.01719166524708271,0.018191838636994362,0.01824774034321308,0.018063494469970465,0.018622733652591705
cv5_gated_boundary_fold3_mctafd_no_se_w05_seed2024,2024,0.9226080793763289,0.949944382647386,0.018673690035939217,0.017413504421710968,0.01841798424720764,0.018510665744543076,0.018253961112350225,0.018673690035939217
