experiment,protocol,model,fold,seed,feature_mode,use_se,n_mels,n_mfcc,fmin,fmax,n_fft,hop_length,win_length,sr,dur_s,fusion_type,aux_gate_init,gate_mean,gate_max,boundary_loss_weight,boundary_warmup_epochs,best_epoch,best_val_macro_f1,test_acc,test_macro_f1
cv5_expanded_cap3x_fold0_logmel_dur2_seed777,cap3x,logmel_dur2,0,777,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,3,0.9833333333333334,0.9404761904761905,0.9404761904761905
cv5_expanded_cap3x_fold1_logmel_dur2_seed777,cap3x,logmel_dur2,1,777,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,9,0.9749373433583959,0.9404761904761905,0.9408010831203601
cv5_expanded_cap3x_fold2_logmel_dur2_seed777,cap3x,logmel_dur2,2,777,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,26,0.9833147942157954,0.9464285714285714,0.9464209780297661
cv5_expanded_cap3x_fold3_logmel_dur2_seed777,cap3x,logmel_dur2,3,777,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,5,0.9583217560433455,0.9285714285714286,0.9289464254323692
cv5_expanded_cap3x_fold4_logmel_dur2_seed777,cap3x,logmel_dur2,4,777,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,24,0.9583217560433455,0.9821428571428571,0.9821403260099221
cv5_expanded_cap3x_fold0_logmel_dur2_seed2024,cap3x,logmel_dur2,0,2024,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,18,0.9916643512086691,0.9226190476190477,0.9217204301075269
cv5_expanded_cap3x_fold1_logmel_dur2_seed2024,cap3x,logmel_dur2,1,2024,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,6,0.9749930536260072,0.9464285714285714,0.9467070529308244
cv5_expanded_cap3x_fold2_logmel_dur2_seed2024,cap3x,logmel_dur2,2,2024,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,25,0.9833333333333334,0.9464285714285714,0.9464209780297661
cv5_expanded_cap3x_fold3_logmel_dur2_seed2024,cap3x,logmel_dur2,3,2024,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,9,0.9583217560433455,0.9404761904761905,0.9404424276800907
cv5_expanded_cap3x_fold4_logmel_dur2_seed2024,cap3x,logmel_dur2,4,2024,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,16,0.9497767857142857,0.9821428571428571,0.9821403260099221
cv5_expanded_cap3x_fold0_logmel_dur2_seed3407,cap3x,logmel_dur2,0,3407,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,25,0.9833333333333334,0.9226190476190477,0.921268925739005
cv5_expanded_cap3x_fold1_logmel_dur2_seed3407,cap3x,logmel_dur2,1,3407,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,8,0.9749373433583959,0.9404761904761905,0.9396204715353651
cv5_expanded_cap3x_fold2_logmel_dur2_seed3407,cap3x,logmel_dur2,2,3407,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,27,0.9749930536260072,0.9464285714285714,0.946360153256705
