experiment,feature_mode,use_se,seed,n_mels,n_mfcc,fmin,fmax,n_fft,hop_length,win_length,sr,dur_s,boundary_loss_weight,boundary_warmup_epochs,fusion_type,aux_gate_init,best_epoch,best_val_macro_f1,test_acc,test_macro_f1
cv5_boundary_fold1_logmel_w05_seed3407,logmel,True,3407,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,0.5,5.0,,,18,0.9497767857142857,0.9166666666666666,0.9174904788914999
cv5_boundary_fold1_logmel_w05_seed3407,logmel,True,3407,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,18,0.9497767857142857,0.9166666666666666,0.9174904788914999
cv5_boundary_fold1_logmel_w05_seed3407,logmel,True,3407,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,18,0.9497767857142857,0.9166666666666666,0.9174904788914999
cv5_boundary_fold1_logmel_w05_seed42,logmel,True,42,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,7,0.9416504584606835,0.9107142857142857,0.9110593017694883
cv5_boundary_fold1_logmel_w05_seed42,logmel,True,42,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,7,0.9416504584606835,0.9107142857142857,0.9110593017694883
cv5_boundary_fold1_logmel_w05_seed42,logmel,True,42,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,0.5,5.0,,,7,0.9416504584606835,0.9107142857142857,0.9110593017694883
cv5_boundary_fold1_logmel_w10_seed2024,logmel,True,2024,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,22,0.949944382647386,0.8869047619047619,0.8880625167050672
cv5_boundary_fold1_logmel_w10_seed2024,logmel,True,2024,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,22,0.949944382647386,0.8869047619047619,0.8880625167050672
cv5_boundary_fold1_logmel_w10_seed2024,logmel,True,2024,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,1.0,5.0,,,22,0.949944382647386,0.8869047619047619,0.8880625167050672
cv5_boundary_fold1_logmel_w10_seed3407,logmel,True,3407,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,1.0,5.0,,,17,0.9497767857142857,0.9166666666666666,0.9174904788914999
cv5_boundary_fold1_logmel_w10_seed3407,logmel,True,3407,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,17,0.9497767857142857,0.9166666666666666,0.9174904788914999
