rank,source_wav,frame_csv,source_start_s,source_end_s,center_s,clip_start_s,clip_end_s,prob_cough,out_wav
58,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,207.0,208.0,207.5,207.0,208.0,0.6949139833450317,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank058_p0.695_src207.00-208.00_clip207.00-208.00.wav
59,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,152.6,153.6,153.1,152.6,153.6,0.6913361549377441,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank059_p0.691_src152.60-153.60_clip152.60-153.60.wav
60,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,242.7,243.7,243.2,242.7,243.7,0.6907580494880676,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank060_p0.691_src242.70-243.70_clip242.70-243.70.wav
61,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,275.4,276.4,275.9,275.4,276.4,0.6754555106163025,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank061_p0.675_src275.40-276.40_clip275.40-276.40.wav
62,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,46.5,47.5,47.0,46.5,47.5,0.6744251847267151,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank062_p0.674_src46.50-47.50_clip46.50-47.50.wav
63,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,24.8,25.8,25.3,24.8,25.8,0.6721926331520081,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank063_p0.672_src24.80-25.80_clip24.80-25.80.wav
64,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,8.3,9.3,8.8,8.3,9.3,0.6702538728713989,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank064_p0.670_src8.30-9.30_clip8.30-9.30.wav
65,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,333.1,334.1,333.6,333.1,334.1,0.6696693897247314,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank065_p0.670_src333.10-334.10_clip333.10-334.10.wav
66,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,75.7,76.7,76.2,75.7,76.7,0.6687984466552734,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank066_p0.669_src75.70-76.70_clip75.70-76.70.wav
67,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,254.7,255.7,255.2,254.7,255.7,0.6635297536849976,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank067_p0.664_src254.70-255.70_clip254.70-255.70.wav
