noise_environment,snr_db,method,n,mean_macro_f1,std_macro_f1,mean_top1_acc,mean_top2_acc,mean_ece,mean_brier,mean_nll,mean_aurc,mean_augrc,mean_risk_at_coverage_0_80,mean_risk_at_coverage_0_90,mean_risk_at_coverage_0_95,mean_frozen_threshold_coverage,mean_frozen_threshold_selective_risk,mean_macro_f1_degradation_vs_clean,condition_family
TBUS,10.0,raw_softmax,25,0.6243545073482746,0.015960251275230534,0.6973809523809525,0.7676190476190476,0.257785877180951,0.5613690483570098,1.8194701194763183,0.1710749554284856,0.17107495542848558,0.3078518518518518,0.29894736842105263,0.29874999999999996,0.9285714285714285,0.2972931578588245,0.3266951658608703,
TBUS,20.0,fused,25,0.6664866406623926,0.04571575483939219,0.7233333333333334,0.8016666666666667,0.2469727593660355,0.5187735950946808,2.119457550048828,0.14920987574402683,0.14920987574402683,0.2711111111111111,0.26973684210526316,0.2705,0.9257142857142857,0.2687881608500859,0.28699936565504125,
TBUS,20.0,hierarchical,25,0.6713502944342923,0.0455745435559439,0.7261904761904762,0.7902380952380953,0.24587097536949884,0.519802565574646,3.7732400560379027,0.19538105989866586,0.19538105989866586,0.2811851851851852,0.26710526315789473,0.2695,0.9307142857142857,0.267750348539372,0.28263591979567293,
TBUS,20.0,prototype,25,0.6695988418994304,0.04231203368416206,0.7242857142857142,0.7888095238095238,0.24453100536550795,0.5179311060905456,3.5821282863616943,0.19137146315467757,0.19137146315467754,0.2785185185185185,0.265,0.26875,0.927142857142857,0.26559713257538575,0.2822535712591257,
TBUS,20.0,raw_softmax,25,0.664227030039341,0.04553099232438206,0.7207142857142856,0.8040476190476191,0.2290692836188134,0.5081028866767884,1.492354166507721,0.1370198986676097,0.1370198986676097,0.26666666666666666,0.2692105263157895,0.27225,0.9230952380952381,0.2688641138388463,0.28682264316980377,
clean,clean,fused,25,0.9534860063174339,0.010342543741247202,0.9535714285714285,1.0,0.026627376093750908,0.07242283433675765,0.12114860355854035,0.004591090163106188,0.004591090163106188,0.005925925925925934,0.019736842105263153,0.03074999999999999,0.9333333333333335,0.025461761411812757,0.0,
clean,clean,hierarchical,25,0.9539862142299651,0.012003773477142526,0.954047619047619,1.0,0.03062408245745158,0.07244969874620438,0.12733056157827377,0.004566348506947476,0.004566348506947476,0.005037037037037045,0.018157894736842106,0.030499999999999992,0.9357142857142857,0.02412827882817796,0.0,
clean,clean,prototype,25,0.9518524131585562,0.013104186087769797,0.9519047619047619,1.0,0.026127021568162104,0.07064198344945907,0.11705490350723266,0.0044934346061557,0.0044934346061557,0.005333333333333341,0.016578947368421054,0.030499999999999992,0.9314285714285714,0.022986725215033883,0.0,
clean,clean,raw_softmax,25,0.9510496732091448,0.012393313898909944,0.9511904761904763,1.0,0.03062553634246191,0.07543459072709084,0.12603675633668898,0.004958135681146772,0.0049581356811467725,0.006814814814814825,0.020526315789473684,0.032499999999999994,0.9350000000000002,0.027235830309842432,0.0,
ALL_NOISY,GROUP,fused,25,0.620066148445404,0.021477266093565955,0.6869047619047619,0.7716137566137565,0.27858204241861745,0.5832251654068629,2.6350606769985627,0.18480765802919655,0.18480765802919655,0.30439506172839503,0.30219298245614035,0.3055555555555555,0.9194179894179895,0.3011425828194792,,all_noisy
